id;subject;student_id;teacher_id;att1;att2;exam;total
1;1;151301;7;19;13;48;80
2;1;180101;1;14;6;35;55
3;1;180501;3;13;9;43;65
4;1;180701;3;18;9;34;61
5;1;180201;9;10;17;13;40
6;1;180301;8;20;6;18;44
7;1;151501;8;18;14;16;48
8;1;170901;3;9;19;44;72
9;1;151302;7;10;12;31;53
10;1;180801;4;15;5;47;67
11;1;181001;5;10;9;28;47
12;1;180102;1;15;15;7;37
13;1;180401;10;19;17;25;61
14;1;180502;3;17;5;48;70
15;1;180202;9;18;8;12;38
16;1;180302;8;17;10;27;54
17;1;180601;1;12;10;43;65
18;1;180303;8;14;13;34;61
19;1;180402;10;11;19;28;58
20;1;180702;3;6;7;7;20
21;1;180103;1;11;13;50;74
22;1;170902;3;15;18;16;49
23;1;180203;9;12;12;22;46
24;1;180802;4;19;12;27;58
25;1;180503;3;6;13;11;30
26;1;180304;8;11;14;50;75
27;1;180403;10;16;13;38;67
28;1;180602;1;6;11;51;68
29;1;180703;3;18;5;12;35
30;1;151401;6;15;5;30;50
31;1;180104;1;16;6;26;48
32;1;170903;3;10;17;56;83
33;1;180105;1;17;7;34;58
34;1;180204;9;17;17;25;59
35;1;180305;8;13;6;27;46
36;1;170904;3;14;18;30;62
37;1;180404;10;9;5;29;43
38;1;180106;1;9;19;17;45
39;1;151303;7;18;20;53;91
40;1;181002;5;17;18;17;52
41;1;180704;3;10;13;35;58
42;1;151402;6;19;9;44;72
43;1;180504;3;6;19;30;55
44;1;151304;7;20;5;25;50
45;1;151502;8;8;9;41;58
46;1;180705;3;14;11;25;50
47;1;180603;1;17;20;37;74
48;1;180803;4;11;19;22;52
49;1;180306;8;12;20;7;39
50;1;151503;8;5;11;6;22
51;1;180205;9;15;15;60;90
52;1;170905;3;18;13;6;37
53;1;181003;5;9;14;52;75
54;1;180405;10;8;9;58;75
55;1;151305;7;7;9;11;27
56;1;180307;8;16;8;41;65
57;1;181004;5;8;7;12;27
58;1;180406;10;16;14;27;57
59;1;180505;3;10;19;26;55
60;1;170906;3;15;8;18;41
61;1;180604;1;20;5;41;66
62;1;180308;8;9;7;8;24
63;1;151403;6;6;9;49;64
64;1;180206;9;20;16;35;71
65;1;180407;10;10;6;49;65
66;1;180706;3;17;6;19;42
67;1;180107;1;6;19;25;50
68;1;180804;4;18;11;28;57
69;1;180207;9;7;15;46;68
70;1;151504;8;20;8;32;60
71;1;180408;10;9;5;16;30
72;1;170907;3;20;6;19;45
73;1;180108;1;19;12;26;57
74;1;180309;8;18;13;5;36
75;1;181005;5;17;13;47;77
76;1;180605;1;19;20;28;67
77;1;180109;1;7;14;19;40
78;1;151306;7;20;8;38;66
79;1;180707;3;5;17;49;71
80;1;180110;1;14;8;21;43
81;1;180409;10;5;16;55;76
82;1;170908;3;17;19;18;54
83;1;180506;3;6;17;42;65
84;1;180606;1;19;17;45;81
85;1;151404;6;15;14;46;75
86;1;180805;4;13;8;28;49
87;1;151505;8;11;6;21;38
88;1;180410;10;14;9;58;81
89;1;151307;7;20;16;6;42
90;1;180310;8;7;17;40;64
91;1;170909;3;16;19;19;54
92;1;181006;5;17;20;53;90
93;1;180111;1;6;12;10;28
94;1;170910;3;20;12;52;84
95;1;151506;8;18;18;12;48
96;1;180311;8;9;18;33;60
97;1;180112;1;14;13;54;81
98;1;180708;3;19;6;32;57
99;1;180507;3;20;7;13;40
100;1;180607;1;11;8;45;64
101;1;180709;3;13;13;58;84
102;1;180806;4;8;16;6;30
103;1;181007;5;7;16;21;44
104;1;180411;10;16;10;22;48
105;1;180208;9;15;12;21;48
106;1;180312;8;7;14;12;33
107;1;180412;10;12;19;21;52
108;1;180113;1;19;20;9;48
109;1;181008;5;15;8;27;50
110;1;180508;3;9;18;27;54
111;1;151308;7;15;9;13;37
112;1;151405;6;17;8;12;37
113;1;180608;1;9;11;23;43
114;1;151507;8;7;19;58;84
115;1;180209;9;12;9;58;79
116;1;180313;8;13;5;32;50
117;1;180413;10;8;8;11;27
118;1;180114;1;14;14;36;64
119;1;180210;9;13;7;7;27
120;1;180710;3;11;11;9;31
121;1;180807;4;15;18;23;56
122;1;180211;9;20;15;17;52
123;1;180115;1;5;5;39;49
124;1;180212;9;17;20;43;80
125;1;180414;10;19;6;19;44
126;1;180314;8;12;18;52;82
127;1;180213;9;8;9;56;73
128;1;181009;5;6;17;53;76
129;1;180509;3;9;15;54;78
130;1;180808;4;16;18;33;67
131;1;180415;10;11;13;39;63
132;1;180609;1;16;16;22;54
133;1;151406;6;16;6;27;49
134;1;151508;8;13;20;30;63
135;1;180116;1;10;12;48;70
136;1;180315;8;9;19;32;60
137;1;181010;5;17;17;10;44
138;1;180416;10;11;8;32;51
139;1;180117;1;11;8;30;49
140;1;170911;3;20;16;20;56
141;1;180610;1;10;13;6;29
142;1;170912;3;19;14;32;65
143;1;180711;3;12;14;47;73
144;1;170913;3;6;11;57;74
145;1;180809;4;13;8;14;35
146;1;181011;5;7;18;24;49
147;1;170914;3;15;20;8;43
148;1;180214;9;11;14;55;80
149;1;180316;8;5;18;39;62
150;1;170915;3;12;15;39;66
151;1;151309;7;9;5;60;74
152;1;151407;6;15;18;12;45
153;1;180510;3;12;10;44;66
154;1;151509;8;19;5;56;80
155;1;151310;7;20;18;10;48
156;1;180215;9;19;14;21;54
157;1;180611;1;19;15;16;50
158;1;180712;3;6;18;29;53
159;1;180810;4;16;10;50;76
160;1;181012;5;9;20;47;76
161;1;180417;10;20;12;43;75
162;1;151408;6;6;5;44;55
163;1;181013;5;10;19;28;57
164;1;151510;8;18;8;28;54
165;1;151311;7;18;7;16;41
166;1;180811;4;6;18;53;77
167;1;180511;3;13;8;8;29
168;1;151409;6;17;10;20;47
169;1;180612;1;20;17;59;96
170;1;170916;3;15;20;36;71
171;1;180713;3;19;8;35;62
172;1;180812;4;19;7;12;38
173;1;180118;1;15;17;53;85
174;1;181014;5;15;8;59;82
175;1;180418;10;5;20;28;53
176;1;181015;5;15;17;22;54
177;1;180613;1;19;8;21;48
178;1;151410;6;6;8;12;26
179;1;180714;3;14;11;46;71
180;1;180813;4;15;5;32;52
181;1;180317;8;19;12;40;71
182;1;170917;3;17;18;13;48
183;1;180512;3;7;7;37;51
184;1;151312;7;19;5;50;74
185;1;170918;3;13;19;37;69
186;1;180216;9;5;18;44;67
187;1;151411;6;6;16;51;73
188;1;151511;8;11;17;37;65
189;1;180419;10;10;15;58;83
190;1;151512;8;11;18;41;70
191;1;180614;1;19;6;51;76
192;1;180715;3;20;8;36;64
193;1;180513;3;7;14;46;67
194;1;151313;7;13;7;28;48
195;1;180615;1;20;8;59;87
196;1;180716;3;18;6;23;47
197;1;180814;4;9;11;13;33
198;1;180318;8;13;14;51;78
199;1;180616;1;14;11;44;69
200;1;181016;5;13;9;6;28
201;1;180119;1;7;15;52;74
202;1;151412;6;10;5;30;45
203;1;180420;10;18;8;58;84
204;1;180319;8;16;7;6;29
205;1;180717;3;20;17;60;97
206;1;151413;6;16;10;45;71
207;1;180815;4;20;17;30;67
208;1;151513;8;15;9;23;47
209;1;181017;5;11;20;44;75
210;1;181018;5;20;5;24;49
211;1;151514;8;19;10;40;69
212;1;180120;1;20;15;53;88
213;1;180617;1;20;19;31;70
214;1;180718;3;18;6;16;40
215;1;180816;4;5;13;38;56
216;1;180514;3;16;17;9;42
217;1;180421;10;11;11;21;43
218;1;180618;1;15;10;19;44
219;1;151515;8;9;13;27;49
220;1;151314;7;15;12;32;59
221;1;180217;9;9;11;18;38
222;1;180320;8;6;8;13;27
223;1;180121;1;7;9;50;66
224;1;181019;5;11;10;6;27
225;1;151414;6;14;8;29;51
226;1;180122;1;17;14;14;45
227;1;180218;9;13;18;52;83
228;1;180515;3;14;16;17;47
229;1;180321;8;18;17;15;50
230;1;180219;9;13;9;14;36
231;1;180422;10;20;20;40;80
232;1;180719;3;13;18;51;82
233;1;180817;4;19;20;12;51
234;1;181020;5;5;16;18;39
235;1;180220;9;12;5;25;42
236;1;181021;5;18;6;13;37
237;1;151415;6;6;10;36;52
238;1;180322;8;13;7;17;37
239;1;180516;3;19;20;21;60
240;1;180619;1;9;11;47;67
241;1;180720;3;16;16;5;37
242;1;180818;4;20;11;31;62
243;1;181022;5;17;6;21;44
244;1;180819;4;11;8;54;73
245;1;151315;7;18;11;39;68
246;1;180517;3;8;8;45;61
247;1;151416;6;18;7;15;40
248;1;180518;3;10;6;5;21
249;1;151516;8;7;15;19;41
250;1;180423;10;8;14;21;43
251;1;151316;7;12;8;25;45
252;1;151417;6;8;8;38;54
253;1;180221;9;16;16;26;58
254;1;151517;8;12;16;47;75
255;1;180323;8;11;7;50;68
256;1;180820;4;17;8;50;75
257;1;180222;9;9;20;40;69
258;1;181023;5;19;5;28;52
259;1;181024;5;18;16;30;64
260;1;180821;4;16;5;53;74
261;1;151317;7;7;8;26;41
262;1;180519;3;11;18;58;87
263;1;180123;1;7;10;44;61
264;1;180620;1;13;7;7;27
265;1;180424;10;15;17;44;76
266;1;180223;9;10;18;55;83
267;1;180721;3;6;12;17;35
268;1;180324;8;10;7;34;51
269;1;180520;3;13;14;42;69
270;1;180822;4;16;13;17;46
