"preobladayushchie_drevesnye_i_kustarnikovye_porody";"naimenovanie_pokazatelya";"edinitsa_izmereniya";"znachenie_pokazatelya"
"Cocнa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), всего";"тыс. га";"11,6"
"Eль";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), всего";"тыс. га";"11,8"
"Лиcтвeнницa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), всего";"тыс. га";"1,6"
"Дуб выcoкocтвoльный";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), всего";"тыс. га";"47,8"
"Дуб низкocтвoльный";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), всего";"тыс. га";"18,6"
"Яceнь";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), всего";"тыс. га";"8,1"
"Клeн";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), всего";"тыс. га";"1,3"
"Вяз и другие";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), всего";"тыс. га";"0,1"
"Бepeзa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), всего";"тыс. га";"87,3"
"Ocинa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), всего";"тыс. га";"43,5"
"Ольxa чepнaя";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), всего";"тыс. га";"0,7"
"Липa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), всего";"тыс. га";"33,7"
"Тoпoль";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), всего";"тыс. га";"0,2"
"Ивы дpeвoвидныe";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), всего";"тыс. га";"0,8"
"Cocнa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 1 класса";"тыс. га";"0,3"
"Eль";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 1 класса";"тыс. га";"2,0"
"Лиcтвeнницa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 1 класса";"тыс. га";"0,0"
"Дуб выcoкocтвoльный";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 1 класса";"тыс. га";"1,8"
"Дуб низкocтвoльный";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 1 класса";"тыс. га";"0,0"
"Яceнь";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 1 класса";"тыс. га";"0,2"
"Клeн";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 1 класса";"тыс. га";"0,1"
"Вяз и другие";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 1 класса";"тыс. га";"0,0"
"Бepeзa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 1 класса";"тыс. га";"0,6"
"Ocинa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 1 класса";"тыс. га";"0,3"
"Ольxa чepнaя";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 1 класса";"тыс. га";"0,0"
"Липa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 1 класса";"тыс. га";"0,2"
"Тoпoль";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 1 класса";"тыс. га";"0,0"
"Ивы дpeвoвидныe";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 1 класса";"тыс. га";"0,0"
"Cocнa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 2 класса";"тыс. га";"0,7"
"Eль";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 2 класса";"тыс. га";"5,8"
"Лиcтвeнницa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 2 класса";"тыс. га";"0,1"
"Дуб выcoкocтвoльный";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 2 класса";"тыс. га";"4,2"
"Дуб низкocтвoльный";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 2 класса";"тыс. га";"0,0"
"Яceнь";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 2 класса";"тыс. га";"1,0"
"Клeн";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 2 класса";"тыс. га";"0,0"
"Вяз и другие";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 2 класса";"тыс. га";"0,0"
"Бepeзa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 2 класса";"тыс. га";"3,3"
"Ocинa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 2 класса";"тыс. га";"1,9"
"Ольxa чepнaя";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 2 класса";"тыс. га";"0,0"
"Липa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 2 класса";"тыс. га";"0,4"
"Тoпoль";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 2 класса";"тыс. га";"0,0"
"Ивы дpeвoвидныe";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), молодняки 2 класса";"тыс. га";"0,2"
"Cocнa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), средневозрастные всего";"тыс. га";"7,3"
"Eль";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), средневозрастные всего";"тыс. га";"3,6"
"Лиcтвeнницa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), средневозрастные всего";"тыс. га";"1,1"
"Дуб выcoкocтвoльный";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), средневозрастные всего";"тыс. га";"30,9"
"Дуб низкocтвoльный";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), средневозрастные всего";"тыс. га";"1,7"
"Яceнь";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), средневозрастные всего";"тыс. га";"4,7"
"Клeн";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), средневозрастные всего";"тыс. га";"0,6"
"Вяз и другие";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), средневозрастные всего";"тыс. га";"0,1"
"Бepeзa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), средневозрастные всего";"тыс. га";"36,9"
"Ocинa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), средневозрастные всего";"тыс. га";"6,0"
"Ольxa чepнaя";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), средневозрастные всего";"тыс. га";"0,3"
"Липa";"Площадь земель, занятых лесными насаждениями (покрытых лесной растительностью), средневозрастные всего";"тыс. га";"11,0"
