Категория;ВидПродукции;2014;2015;2016;2017
Мясопродукты;Говядина (кроме бескостного мяса);272,28;314,94;315,02;320,34
Мясопродукты;Говядина бескостная;400,23;456,11;455,26;461,24
Мясопродукты;Свинина (кроме бескостного мяса);272,36;271,08;264,32;255,87
Мясопродукты;Свинина бескостная;358,64;359,4;351,26;343,94
Мясопродукты;Баранина (кроме бескостного мяса);306,58;340,52;345,2;344,23
Мясопродукты;Куры охлажденные и мороженые;136,14;133,73;138,49;126,29
Мясопродукты;Окорочка куриные;154,58;156,09;158,69;152,62
Мясопродукты;Печень говяжья;203,64;230,37;238,29;241,62
Мясопродукты;Фарш мясной;283,28;317,24;319,55;324,54
Мясопродукты;Пельмени, манты, равиоли;200,37;232,21;237,82;245,19
Мясопродукты;Сосиски, сардельки;294,02;325,75;333,63;338,69
Мясопродукты;Колбаса полукопченая и варено-копченая;370,83;413,93;427,28;439,13
Мясопродукты;Колбаса сырокопченая;805,9;898,41;917,69;927,15
Мясопродукты;Колбаса вареная;310,54;344,81;351,27;360,88
Мясопродукты;Мясокопчености;510,22;561,89;571,73;578,99
Мясопродукты;Кулинарные изделия из птицы;241,78;258,91;265,69;268,91
Мясопродукты;Консервы мясные;94,42;117,04;121,37;125,21
Рыбопродукты;Рыба живая и охлажденная;144,3;177,68;185,55;175,8
Рыбопродукты;Рыба соленая, маринованная, копченая;292,21;352,58;382,54;388,83
Рыбопродукты;Соленые и копченые деликатесные продукты из рыбы;1111,7;1326,26;1482,53;1548,4
Рыбопродукты;Икра лососевых рыб, отечественная;2836,29;3014,48;3225,45;3898,43
Рыбопродукты;Рыба мороженая разделанная (кроме лососевых пород);154,29;190,92;195,14;195,37
Рыбопродукты;Рыба охлажденная и мороженая разделанная лососевых пород;445,29;529,26;601,71;651,09
Рыбопродукты;Рыба мороженая неразделанная;110,65;138,16;147,68;153,03
Рыбопродукты;Филе рыбное;224,38;280,61;294;299,1
Рыбопродукты;Сельдь соленая;133,3;193,41;205,72;200,64
Рыбопродукты;Филе сельди соленое;275,14;360,91;387,57;382,37
Рыбопродукты;Консервы рыбные натуральные и с добавлением масла, за 350 г;70,12;91,94;103,94;109,09
Рыбопродукты;Консервы рыбные в томатном соусе, за 350 г;47,94;59,22;63,81;65,88
Рыбопродукты;Пресервы рыбные, за 350 г;109,44;136,9;149,14;156,2
Масла и жиры;Масло сливочное;357,54;397,75;477,13;528,83
Масла и жиры;Масло подсолнечное;78,09;107,62;110,1;100,16
Масла и жиры;Масло оливковое, за л;615,26;859,79;967,21;977,57
Масла и жиры;Маргарин;87,72;115,54;124,65;125,85
Молоко и молочная продукция;Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, за л;43,81;47,61;51,44;53,45
Молоко и молочная продукция;Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, за л;59,66;64,46;70,58;73,8
Молоко и молочная продукция;Сметана;156,12;173,83;186,37;195,53
Молоко и молочная продукция;Кисломолочные продукты;56,68;62,25;67,2;70,77
Молоко и молочная продукция;Йогурт, за 125 г;16,65;19,57;21,88;22,96
Молоко и молочная продукция;Творог жирный;246,31;274,31;295,76;309,03
Молоко и молочная продукция;Творог нежирный;231,66;259,44;279,48;291,6
Молоко и молочная продукция;Сырки творожные, глазированные шоколадом, за 50 г;14,22;17,54;19,95;21,98
Молоко и молочная продукция;Молоко сгущенное с сахаром, за 400 г;59,26;71,42;78,27;80,09
Молоко и молочная продукция;Смеси сухие молочные для детского питания;667,06;791,2;839,84;863,01
Сыр;Сыры сычужные твердые и мягкие;388,81;418,61;461,71;478,88
Сыр;Сыры плавленые;236,92;278,81;298,39;322,46
Сыр;Национальные сыры и брынза;327,3;386,8;416,15;421,99
Консервы овощные;Овощи натуральные консервированные, маринованные;111,84;143,98;148,83;150,47
Консервы овощные;Консервы овощные для детского питания;344,72;414,73;445,53;456,75
Консервы овощные;Консервы томатные;130,44;167,3;178,07;181,78
Консервы фруктово-ягодные;Соки фруктовые, за л;61,98;72,23;82,14;83,71
Консервы фруктово-ягодные;Консервы фруктово-ягодные для детского питания;280,83;343,21;365,41;369,35
Яйца;Яйца куриные, за 10 шт.;58,76;65,02;64,17;54,63
Сахар;Сахар-песок;44,97;52,14;48,78;36,75
Кондитерские изделия;Зефир, пастила;193,72;237,38;251,61;253,62
Кондитерские изделия;Карамель;150,26;199,64;215,86;216,53
Кондитерские изделия;Шоколад;545,06;748,25;828;832,65
Кондитерские изделия;Конфеты мягкие, глазированные шоколадом;215,83;284,54;304,62;302,97
Кондитерские изделия;Конфеты шоколадные натуральные и с добавками;456,76;571,66;590,57;588,13
Кондитерские изделия;Жевательная резинка, за упаковку;20,16;23,48;26,81;26,86
Кондитерские изделия;Печенье;114,3;138,28;147,85;149,15
Кондитерские изделия;Пряники;98,19;116,44;125,82;127,88
Кондитерские изделия;Кексы, рулеты;191,37;224,92;240,53;240,85
Кондитерские изделия;Торты;350,74;399,46;418,86;436,79
Варенье, джем, повидло, мед;Варенье, джем, повидло;193,32;250,78;280,11;299,85
Варенье, джем, повидло, мед;Мед пчелиный натуральный;415,93;442,23;462,34;468,19
Чай, кофе, какао;Кофе натуральный растворимый;1700,36;2144,96;2335,79;2379,8
Чай, кофе, какао;Кофе натуральный в зернах и молотый;683,34;913,46;1002,04;1004,64
Чай, кофе, какао;Чай черный байховый;496,4;685,73;759,21;765,93
Чай, кофе, какао;Чай черный байховый пакетированный, за 25 пакетиков;46,71;59,24;62,75;61,62
Соль, соус, специи, концентраты;Майонез;115,69;150,38;163,82;164,95
Соль, соус, специи, концентраты;Кетчуп;115,2;140,53;161,48;168,12
Соль, соус, специи, концентраты;Соль поваренная пищевая;11,55;12,63;12,63;12,73
Соль, соус, специи, концентраты;Перец черный (горошек);1086,28;1799,07;2102,4;2145,88
Соль, соус, специи, концентраты;Сухие супы в пакетах, за 100 г;29,69;37,12;39,25;41,04
Мука;Мука пшеничная;29,46;32,78;33,27;32,11
Хлеб и хлебобулочные изделия;Хлеб из ржаной муки и из смеси муки ржаной и пшеничной;36,99;41,85;44,51;45,84
