"npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
2,"< 5",66,"bio",270799,24999.5,1
1,"< 5",51,"bio",270106,24999.5,0
1,"< 5",36,"bio",270708,24999.5,0
1,"5-10",46,"bio",270603,24999.5,0
4,"> 10",46,"physics",240402,24999.5,1
2,"< 5",46,"bio",270603,24999.5,0
1,"< 5",36,"chem",250103,24999.5,1
2,"5-10",45,"bio",270603,24999.5,1
1,"< 5",35,"beh_cog",380107,24999.5,1
2,"< 5",51,"bio",270203,24999.5,1
3,"< 5",72,"beh_cog",380199,24999.5,1
4,"> 10",41,"physics",240401,24999.5,1
1,"> 10",35,"physics",240101,24999.5,1
2,"< 5",56,"beh_cog",380303,24999.5,0
2,"< 5",56,"beh_cog",380201,24999.5,1
2,"< 5",52,"bio",270199,24999.5,1
3,"< 5",51,"bio",270403,24999.5,1
1,"< 5",32,"bio",270602,24999.5,0
1,"> 10",61,"beh_cog",380106,24999.5,0
1,"< 5",31,"bio",270199,24999.5,1
2,"< 5",50,"bio",270708,24999.5,1
2,"< 5",61,"beh_cog",380103,24999.5,1
2,"< 5",40,"bio",270208,24999.5,0
2,"< 5",31,"bio",270203,24999.5,0
1,"< 5",27,"bio",270201,24999.5,0
2,"> 10",56,"bio",270599,24999.5,1
1,"< 5",36,"bio",270702,24999.5,1
4,"< 5",51,"bio",270299,24999.5,1
2,"< 5",41,"bio",270208,24999.5,0
1,"< 5",60,"beh_cog",380107,24999.5,0
2,"5-10",45,"bio",270603,24999.5,1
3,"> 10",58,"bio",270707,24999.5,1
1,"< 5",46,"bio",270103,24999.5,1
1,"< 5",31,"bio",270707,24999.5,1
1,"< 5",27,"beh_cog",380107,24999.5,0
1,"5-10",35,"bio",270108,24999.5,1
3,"< 5",41,"bio",270402,24999.5,0
1,"5-10",41,"bio",270603,24999.5,1
2,"5-10",58,"beh_cog",380199,24999.5,1
2,"5-10",38,"bio",270702,24999.5,1
1,"5-10",31,"bio",270707,24999.5,0
1,"< 5",41,"bio",270603,24999.5,1
2,"> 10",55,"bio",270202,24999.5,0
1,"< 5",36,"bio",270702,24999.5,0
1,"< 5",50,"bio",270104,24999.5,0
1,"< 5",35,"bio",270201,24999.5,0
1,"> 10",56,"bio",270599,24999.5,0
2,"< 5",42,"bio",270402,24999.5,1
1,"< 5",36,"beh_cog",380203,24999.5,1
1,"< 5",40,"soc",370499,24999.5,1
1,"5-10",35,"bio",270103,24999.5,0
2,"< 5",41,"chem",250102,24999.5,1
1,"< 5",40,"soc",370499,24999.5,0
1,"> 10",55,"bio",270603,24999.5,1
2,"> 10",32,"physics",240499,24999.5,1
1,"< 5",65,"physics",240302,24999.5,0
1,"< 5",31,"bio",270205,24999.5,1
