iter	RMSE
0	32929.34381
1	31239.63506
2	30337.5276
3	29988.2894
4	29864.18369
5	29671.28906
6	29539.68723
7	29444.46626
8	29285.51583
9	29207.49808
10	29139.68508
11	29034.20062
12	29011.79422
13	28955.09613
14	28827.48217
15	28768.72565
16	28705.01763
17	28655.5231
18	28634.04568
19	28610.14046
20	28574.29907
21	28560.9811
22	28514.73427
23	28496.30174
24	28482.01728
25	28433.3261
26	28367.53473
27	28339.31925
28	28279.84027
29	28265.79244
30	28231.99139
31	28221.82402
32	28210.29217
33	28175.89596
34	28138.0581
35	28109.50845
36	28099.49884
37	28075.02448
38	28047.96924
39	28024.68343
40	28000.01167
41	27980.2314
42	27971.58753
43	27963.83395
44	27946.60217
45	27924.87157
46	27910.33914
47	27900.91177
48	27870.25044
49	27841.70494
50	27822.17863
51	27810.49923
52	27803.60925
53	27797.48236
54	27786.04845
55	27767.11295
56	27739.67213
57	27706.30705
58	27700.51742
59	27680.95673
60	27665.69519
61	27656.80037
62	27641.46981
63	27624.52233
64	27596.64131
65	27589.16284
66	27572.30751
67	27561.4626
68	27529.54798
69	27524.64014
70	27520.24195
71	27508.51318
72	27499.52522
73	27491.11001
74	27479.02365
75	27467.73015
76	27461.01466
77	27452.38804
78	27442.24289
79	27434.89312
80	27418.5073
81	27403.75066
82	27398.24503
83	27382.62322
84	27379.54915
85	27372.40068
86	27364.91133
87	27350.28594
88	27346.53264
89	27342.9495
90	27330.72479
91	27322.87992
92	27295.17471
93	27289.15244
94	27285.78399
95	27277.52816
96	27268.25721
97	27265.15251
98	27263.54343
99	27258.88444
100	27255.86972
101	27238.68798
102	27234.82278
103	27229.84092
104	27217.38716
105	27214.99688
106	27212.66469
107	27208.3218
108	27199.71494
109	27196.98588
110	27189.82989
111	27181.37551
112	27176.26695
113	27156.62994
114	27149.8027
115	27132.96685
116	27130.44401
117	27126.73025
118	27124.11432
119	27122.24154
120	27117.97956
121	27112.03863
122	27106.43571
123	27092.91683
124	27089.2916
125	27086.95556
126	27082.65115
127	27075.78649
128	27073.90662
129	27066.15466
130	27062.55145
131	27052.54547
132	27050.48011
133	27048.82965
134	27034.97531
135	27030.58721
136	27028.43752
137	27025.00097
138	27015.50533
139	27003.4964
140	26989.04498
141	26981.85018
142	26978.12439
143	26975.9989
144	26973.69047
145	26969.11959
146	26967.10576
147	26956.31581
148	26947.71121
149	26945.64336
150	26940.84896
151	26938.92613
152	26936.06856
153	26934.71853
154	26927.86418
155	26925.24807
156	26914.93075
157	26907.12476
158	26904.38632
159	26900.70461
160	26892.40563
161	26890.01298
162	26885.58289
163	26884.0481
164	26881.97007
165	26879.62379
166	26876.83525
167	26875.56187
168	26873.76736
169	26872.63743
170	26870.93895
171	26869.22035
172	26863.00592
173	26858.0017
174	26856.91729
175	26853.68728
176	26849.65947
177	26844.38507
178	26842.67919
179	26837.73306
180	26835.42636
181	26833.99144
182	26831.33967
183	26829.92152
184	26826.67311
185	26815.88064
186	26813.74877
187	26812.81532
188	26796.75215
189	26795.25194
190	26790.96264
191	26787.40496
192	26783.26895
193	26773.90466
194	26768.37268
195	26761.33223
196	26759.80453
197	26754.18767
198	26734.59219
199	26733.12529
200	26731.67821
201	26726.49383
202	26725.10088
203	26723.29122
204	26720.02454
205	26718.6411
206	26715.12851
207	26706.40205
208	26696.68502
209	26691.80571
