iter	RMSE
0	1.31109888
1	1.215214207
2	1.192619945
3	1.177131675
4	1.162359756
5	1.142727833
6	1.133297396
7	1.123228611
8	1.112717582
9	1.102247612
10	1.093379787
11	1.083261348
12	1.078514543
13	1.073902236
14	1.067198547
15	1.062815021
16	1.061633975
17	1.058143822
18	1.053718051
19	1.045486657
20	1.041663122
21	1.036168399
22	1.033285006
23	1.030496882
24	1.026515787
25	1.023693232
26	1.020722026
27	1.018530656
28	1.016188405
29	1.013918353
30	1.011651319
31	1.009281684
32	1.006492917
33	1.004641104
34	1.002615403
35	1.000473281
36	0.9987075917
37	0.9960514539
38	0.9940070199
39	0.9915822797
40	0.9894682519
41	0.9874483038
42	0.9858712402
43	0.9841987065
44	0.98271508
45	0.9808453681
46	0.9795220889
47	0.9781830452
48	0.9765249759
49	0.9752122045
50	0.9738945816
51	0.9725548212
52	0.9709779934
53	0.9695802387
54	0.9683235842
55	0.9666514521
56	0.9651214509
57	0.9639634101
58	0.9627795855
59	0.9618081247
60	0.9602249509
61	0.9589400392
62	0.9570141218
63	0.9558169153
64	0.9546574252
65	0.9533577917
66	0.9522519085
67	0.9512014814
68	0.9497867739
69	0.9487181968
70	0.9475299587
71	0.9463200723
72	0.945057168
73	0.9441177795
74	0.9427396119
75	0.9417094719
76	0.9406306806
77	0.9396382352
78	0.9384362138
79	0.9372356423
80	0.9363275965
81	0.9354270978
82	0.9343976908
83	0.9336331584
84	0.9328552508
85	0.932071812
86	0.9314439409
87	0.9307551323
88	0.930061773
89	0.9293284409
90	0.9284420256
91	0.9276088113
92	0.9267283174
93	0.9260018425
94	0.9252453084
95	0.9245092114
96	0.9237423934
97	0.9226112807
98	0.9217400677
99	0.9210439519
100	0.9201311094
101	0.9190815761
102	0.9185217698
103	0.9177765466
104	0.9170318067
105	0.9162014452
106	0.9151105982
107	0.9141742901
108	0.9131923498
109	0.9121723023
110	0.9113063669
111	0.9103784331
112	0.9096655144
113	0.9089032251
114	0.9080359679
115	0.9072927261
116	0.906584497
117	0.9058063514
118	0.9048860245
119	0.9041405406
120	0.9032675998
121	0.902271741
122	0.9014541474
123	0.9007221956
124	0.9000445565
125	0.8993192633
126	0.8984299366
127	0.8977729694
128	0.897139523
129	0.8965603479
130	0.8957614243
131	0.8952265907
132	0.8945328179
133	0.8939323591
134	0.8933414019
135	0.8927641001
136	0.8920930072
137	0.8914931461
138	0.890974021
139	0.890647135
140	0.8900352163
141	0.8893422345
142	0.888692364
143	0.8877957562
144	0.8872800071
145	0.8867089413
146	0.8859991427
147	0.8853987798
148	0.8847662541
149	0.8842833357
150	0.8837136563
151	0.883172357
152	0.8826410963
153	0.8818340561
154	0.881181121
155	0.8806284878
156	0.879716641
157	0.8789305693
158	0.8783567359
159	0.8778214033
160	0.8767199355
161	0.8761152873
162	0.8755760788
163	0.8746432556
164	0.8741428278
165	0.8733593439
166	0.8728610072
167	0.8723854838
168	0.871781924
169	0.8710553156
170	0.8698753138
171	0.869358372
172	0.8687217474
173	0.8683583929
174	0.8677999715
175	0.8671972446
176	0.8666917399
177	0.8661098224
178	0.8655593099
179	0.8649928629
180	0.8643993011
181	0.8640316605
182	0.8635783032
183	0.8629569656
184	0.8624842898
185	0.862093848
186	0.861494061
187	0.8610326012
188	0.8605258881
189	0.8600424703
190	0.8593913376
191	0.8584497985
192	0.8578246906
193	0.8571686778
194	0.8566587613
195	0.8561604654
196	0.8556779792
197	0.8551068258
198	0.8546066611
199	0.854135464
200	0.8537640707
201	0.8532952227
202	0.8529679088
203	0.8522968537
204	0.8517962349
205	0.8513908236
206	0.8509320408
207	0.8504880407
208	0.850028644
209	0.8496464054
210	0.849222451
211	0.8486942576
212	0.8480795235
213	0.8477085613
214	0.8472699483
215	0.846928893
216	0.8464642998
217	0.8461469572
218	0.8457368845
219	0.8449363655
220	0.8443910521
221	0.8439394319
222	0.8434919138
223	0.8431153209
224	0.8426961165
225	0.8423336667
226	0.8417712402
227	0.841283645
228	0.8408338776
229	0.8403098851
230	0.8398875001
231	0.8394611382
232	0.8392606267
233	0.838772259
234	0.8385121411
235	0.8380375974
236	0.8376644246
237	0.8372373099
238	0.8368982326
239	0.8365434538
240	0.8360628264
241	0.8357278842
242	0.8352433477
243	0.8347789371
244	0.8342781324
245	0.8339449778
246	0.8336345471
247	0.8329983931
248	0.8325156614
249	0.8321171763
250	0.8317458661
251	0.8313524088
252	0.8310534397
253	0.8307344405
254	0.8303464419
255	0.8299977653
256	0.8296395171
257	0.8291767178
258	0.828777392
259	0.8284107318
260	0.8279583534
261	0.8273228489
262	0.8268923677
263	0.8264874866
264	0.8259868472
265	0.8256758791
266	0.8253815727
267	0.8250044901
268	0.8246639375
269	0.8243326838
270	0.8239543734
271	0.8235037151
272	0.823155766
273	0.8227901439
274	0.822398671
275	0.8219318551
276	0.8215297197
277	0.8211581178
278	0.8207263579
279	0.8203534466
280	0.8199114579
281	0.8195608029
282	0.8191467829
283	0.8187439422
284	0.8183866498
285	0.8180395721
286	0.8177041486
287	0.8173030721
288	0.8169203093
289	0.8165352072
290	0.8162623868
291	0.8159983993
292	0.8156787232
293	0.8154323288
294	0.8150939658
295	0.8147114385
296	0.8143489356
297	0.8139473727
298	0.8135660366
299	0.8132359621
300	0.8127599304
301	0.8122610647
302	0.8119498242
303	0.8116010815
304	0.8112589626
305	0.8109024059
306	0.8105990578
307	0.8102285871
308	0.8098838313
309	0.8095547163
310	0.8091283646
311	0.8087094426
312	0.8084191253
313	0.8080374743
314	0.8076517977
315	0.8073107168
316	0.8070622903
317	0.8067350493
318	0.8064643587
319	0.8061951064
320	0.8059170407
321	0.8055690863
322	0.8051741364
323	0.804717773
324	0.8043874152
325	0.8040390341
326	0.8036646515
327	0.8033416083
328	0.8029817128
329	0.802658428
330	0.8024787766
331	0.8021106921
332	0.8018271008
333	0.8015553633
334	0.8013039078
335	0.8010748044
336	0.8007098546
337	0.8004250161
338	0.7999644068
339	0.7996880369
340	0.7992637199
341	0.7989186587
342	0.7986022528
343	0.7982503299
344	0.7979990797
345	0.7975472427
346	0.7972792542
347	0.7969986973
348	0.7966429558
349	0.7963672373
350	0.7960626517
351	0.7957003894
352	0.7954496463
353	0.7950618564
354	0.7947540069
355	0.7945117865
356	0.7942397681
357	0.7940126034
358	0.7937881593
359	0.7934800035
360	0.793248183
361	0.7930202166
362	0.792773196
363	0.7924396024
364	0.7921451518
365	0.7917731898
366	0.7914636667
367	0.7911354745
368	0.7908004172
369	0.7904836461
370	0.7902178258
371	0.7899552522
372	0.7896899684
373	0.7894864431
374	0.7892624487
375	0.788887873
376	0.7885611874
377	0.7882122209
378	0.7879633088
379	0.7875574952
380	0.7873479727
381	0.787144547
382	0.7868728756
383	0.7866216473
384	0.7864013099
385	0.7860405249
386	0.7858732886
387	0.7855307791
388	0.7853065077
389	0.7850387634
390	0.7848279351
391	0.7845116065
392	0.7841310835
393	0.7836669321
394	0.7832439202
395	0.7828302375
396	0.7824717983
397	0.7820565565
398	0.7817299171
399	0.7815134039
400	0.7812298384
401	0.7809218621
402	0.7806332686
403	0.7803292803
404	0.7800264601
405	0.7798035038
406	0.7795717285
407	0.7792990099
408	0.7790879821
409	0.7787856429
410	0.7786010764
411	0.7783967678
412	0.7781340329
413	0.7778241084
414	0.7775331945
415	0.7772106604
416	0.7768762367
417	0.7766194941
418	0.7761708578
419	0.7758520691
420	0.7755461362
421	0.7752347775
422	0.7749044833
423	0.7746091279
424	0.7743770589
425	0.7740496293
426	0.7738796103
427	0.7735757372
428	0.7732809029
429	0.7729792569
430	0.772769443
431	0.7725134427
432	0.7722663722
433	0.7720393632
434	0.7718483636
435	0.7716583975
436	0.7713738576
437	0.7711006177
438	0.7708829081
439	0.7705381701
440	0.770284026
441	0.7699388826
