wage	educ	exper
3,10	11,00	2,00
3,24	12,00	22,00
3,00	11,00	2,00
6,00	8,00	44,00
5,30	12,00	7,00
8,75	16,00	9,00
11,25	18,00	15,00
5,00	12,00	5,00
3,60	12,00	26,00
18,18	17,00	22,00
6,25	16,00	8,00
8,13	13,00	3,00
8,77	12,00	15,00
5,50	12,00	18,00
22,20	12,00	31,00
17,33	16,00	14,00
7,50	12,00	10,00
10,63	13,00	16,00
3,60	12,00	13,00
4,50	12,00	36,00
6,88	12,00	11,00
8,48	12,00	29,00
6,33	16,00	9,00
0,53	12,00	3,00
6,00	11,00	37,00
9,56	16,00	3,00
7,78	16,00	11,00
12,50	16,00	31,00
12,50	15,00	30,00
3,25	8,00	9,00
13,00	14,00	23,00
4,50	14,00	2,00
9,68	13,00	16,00
5,00	12,00	7,00
4,68	12,00	3,00
4,27	16,00	22,00
6,15	12,00	15,00
3,51	4,00	39,00
3,00	14,00	3,00
6,25	12,00	11,00
7,81	12,00	3,00
10,00	12,00	20,00
4,50	14,00	16,00
4,00	11,00	45,00
6,38	13,00	11,00
13,70	15,00	20,00
1,67	10,00	1,00
2,93	12,00	36,00
3,65	14,00	9,00
2,90	12,00	15,00
1,63	12,00	18,00
8,60	16,00	3,00
5,00	12,00	15,00
6,00	12,00	7,00
2,50	12,00	2,00
3,25	15,00	3,00
3,40	16,00	1,00
10,00	8,00	13,00
21,63	18,00	8,00
4,38	16,00	7,00
11,71	13,00	40,00
12,39	14,00	42,00
6,25	10,00	36,00
3,71	10,00	13,00
7,78	14,00	9,00
19,98	14,00	26,00
6,25	16,00	7,00
10,00	12,00	25,00
5,71	16,00	10,00
2,00	12,00	3,00
5,71	16,00	3,00
13,08	17,00	17,00
4,91	12,00	17,00
2,91	12,00	20,00
3,75	12,00	7,00
11,90	13,00	24,00
4,00	12,00	28,00
3,10	12,00	2,00
8,45	12,00	19,00
7,14	18,00	13,00
4,50	9,00	22,00
4,65	16,00	3,00
2,90	10,00	4,00
6,67	12,00	7,00
3,50	12,00	6,00
3,26	12,00	13,00
3,25	12,00	14,00
8,00	12,00	14,00
9,85	8,00	40,00
7,50	12,00	11,00
5,91	12,00	14,00
11,76	14,00	40,00
3,00	12,00	1,00
4,81	12,00	2,00
6,50	12,00	4,00
4,00	9,00	19,00
3,50	13,00	1,00
13,16	12,00	34,00
4,25	14,00	5,00
3,50	12,00	3,00
5,13	15,00	6,00
3,75	12,00	14,00
4,50	12,00	35,00
7,63	12,00	8,00
15,00	14,00	7,00
6,85	15,00	11,00
13,33	12,00	14,00
6,67	12,00	35,00
2,53	12,00	46,00
9,80	17,00	7,00
3,37	11,00	45,00
24,98	18,00	29,00
5,40	12,00	6,00
6,11	14,00	15,00
4,20	14,00	33,00
3,75	10,00	15,00
3,50	14,00	5,00
3,64	12,00	7,00
3,80	15,00	6,00
3,00	8,00	33,00
5,00	16,00	2,00
4,63	14,00	4,00
3,00	15,00	1,00
3,20	12,00	29,00
3,91	18,00	17,00
6,43	16,00	17,00
5,48	10,00	36,00
1,50	8,00	31,00
2,90	10,00	23,00
5,00	11,00	13,00
8,92	18,00	3,00
5,00	15,00	15,00
3,52	12,00	48,00
2,90	11,00	6,00
4,50	12,00	12,00
2,25	12,00	5,00
5,00	14,00	19,00
10,00	16,00	9,00
3,75	2,00	39,00
10,00	14,00	28,00
10,95	16,00	23,00
7,90	12,00	2,00
4,72	12,00	15,00
5,84	13,00	5,00
3,83	12,00	18,00
3,20	15,00	2,00
2,00	10,00	3,00
4,50	12,00	31,00
11,55	16,00	20,00
2,14	13,00	34,00
2,38	9,00	5,00
3,75	12,00	11,00
5,52	13,00	31,00
6,50	12,00	8,00
3,10	12,00	2,00
10,00	14,00	18,00
6,63	16,00	3,00
10,00	16,00	3,00
2,31	9,00	4,00
6,88	18,00	4,00
2,83	10,00	1,00
3,13	10,00	1,00
8,00	13,00	28,00
4,50	12,00	47,00
8,65	18,00	13,00
2,00	13,00	2,00
4,75	12,00	48,00
6,25	13,00	6,00
6,00	13,00	8,00
15,38	13,00	25,00
14,58	18,00	13,00
12,50	12,00	8,00
5,25	12,00	19,00
2,17	13,00	1,00
7,14	12,00	43,00
6,22	12,00	19,00
9,00	12,00	11,00
10,00	14,00	43,00
5,77	10,00	44,00
4,00	12,00	22,00
8,75	16,00	3,00
6,53	16,00	3,00
7,60	12,00	41,00
5,00	14,00	5,00
5,00	12,00	14,00
21,86	12,00	24,00
8,64	12,00	28,00
3,30	12,00	25,00
4,44	12,00	3,00
4,55	12,00	11,00
3,50	12,00	7,00
6,25	16,00	9,00
3,85	16,00	5,00
6,18	14,00	9,00
2,91	11,00	1,00
6,25	16,00	2,00
6,25	12,00	13,00
9,05	12,00	10,00
10,00	17,00	5,00
11,11	12,00	30,00
6,88	12,00	31,00
8,75	16,00	1,00
10,00	8,00	9,00
3,05	12,00	10,00
3,00	12,00	38,00
5,80	12,00	19,00
4,10	16,00	5,00
8,00	12,00	26,00
6,15	12,00	35,00
2,70	9,00	2,00
2,75	13,00	1,00
3,00	16,00	19,00
3,00	14,00	3,00
7,36	8,00	36,00
7,50	14,00	29,00
3,50	13,00	1,00
8,10	12,00	38,00
3,75	18,00	1,00
3,25	9,00	29,00
5,83	8,00	36,00
3,50	8,00	4,00
3,33	12,00	45,00
4,00	14,00	22,00
3,50	12,00	20,00
6,25	16,00	5,00
2,95	8,00	15,00
5,71	13,00	10,00
3,00	9,00	3,00
22,86	16,00	16,00
9,00	12,00	38,00
8,33	15,00	33,00
3,00	11,00	2,00
5,75	14,00	6,00
6,76	12,00	19,00
10,00	12,00	29,00
3,00	12,00	2,00
3,50	18,00	3,00
3,25	12,00	4,00
4,00	12,00	10,00
2,92	12,00	4,00
3,06	12,00	14,00
3,20	12,00	15,00
4,75	12,00	19,00
3,00	14,00	17,00
18,16	16,00	29,00
3,50	12,00	2,00
4,11	14,00	5,00
1,96	11,00	38,00
4,29	12,00	3,00
3,00	10,00	47,00
6,45	12,00	7,00
5,20	6,00	47,00
4,50	13,00	23,00
3,88	12,00	12,00
3,45	10,00	11,00
10,91	12,00	25,00
4,10	14,00	6,00
3,00	13,00	3,00
5,90	12,00	14,00
18,00	18,00	13,00
4,00	12,00	9,00
3,00	12,00	1,00
3,55	12,00	6,00
3,00	12,00	11,00
8,75	12,00	47,00
2,90	8,00	49,00
6,26	13,00	37,00
3,50	13,00	2,00
4,60	14,00	7,00
6,00	12,00	22,00
2,89	10,00	8,00
5,58	16,00	1,00
4,00	12,00	43,00
6,00	16,00	2,00
4,50	12,00	2,00
2,92	14,00	1,00
4,33	18,00	1,00
18,89	17,00	26,00
4,28	13,00	1,00
4,57	14,00	37,00
6,25	15,00	12,00
2,95	14,00	41,00
8,75	12,00	24,00
8,50	8,00	38,00
3,75	12,00	18,00
3,15	12,00	26,00
5,00	8,00	45,00
6,46	12,00	27,00
2,00	9,00	2,00
4,79	12,00	41,00
5,78	16,00	11,00
3,18	12,00	5,00
4,68	16,00	3,00
4,10	12,00	3,00
2,91	12,00	4,00
6,00	13,00	21,00
3,60	10,00	34,00
3,95	6,00	49,00
7,00	12,00	6,00
3,00	12,00	26,00
6,08	16,00	9,00
8,63	12,00	23,00
3,00	8,00	33,00
3,75	12,00	5,00
2,90	6,00	49,00
3,00	4,00	48,00
6,25	11,00	35,00
3,50	11,00	23,00
3,00	7,00	26,00
3,24	12,00	16,00
8,02	18,00	23,00
3,33	12,00	36,00
5,25	16,00	4,00
6,25	12,00	10,00
3,50	14,00	18,00
2,95	12,00	3,00
3,00	10,00	7,00
4,69	10,00	7,00
3,73	9,00	33,00
4,00	10,00	34,00
4,00	12,00	8,00
2,90	12,00	17,00
3,05	12,00	2,00
5,05	10,00	5,00
13,95	16,00	41,00
18,16	16,00	35,00
6,25	16,00	11,00
5,25	12,00	4,00
4,79	12,00	12,00
3,35	7,00	35,00
3,00	8,00	33,00
8,43	16,00	8,00
5,70	16,00	2,00
11,98	18,00	8,00
3,50	13,00	29,00
4,24	10,00	14,00
7,00	16,00	26,00
6,00	14,00	11,00
12,22	16,00	10,00
4,50	12,00	13,00
3,00	9,00	23,00
2,90	11,00	1,00
15,00	11,00	35,00
4,00	12,00	5,00
5,25	11,00	13,00
4,00	12,00	22,00
3,30	12,00	21,00
5,05	12,00	19,00
3,58	12,00	13,00
5,00	14,00	15,00
4,57	14,00	3,00
12,50	18,00	6,00
3,45	12,00	6,00
4,63	12,00	16,00
10,00	12,00	31,00
2,92	11,00	1,00
4,51	12,00	5,00
6,50	17,00	3,00
7,50	16,00	11,00
3,54	13,00	6,00
4,20	13,00	11,00
3,51	12,00	7,00
